Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	pLI	DSI_g	DPI_g	N_diseases	N_SNPs
CORO1A	11151	P31146	coronin 1A	Cellular structure	0.97024	0.564	0.692	102	3
WDR45	11152	Q9Y484	WD repeat domain 45		0.99145	0.647	0.423	72	31
AP4S1	11154	Q9Y587	adaptor related protein complex 4 subunit sigma 1	Transporter	1.7275e-06	0.674	0.385	64	9
LDB3	11155	O75112	LIM domain binding 3	Cellular structure	9.5733e-06	0.659	0.385	69	15
PTP4A3	11156	O75365	protein tyrosine phosphatase 4A3		0.045489	0.566	0.654	106	0
RABL2B	11158	Q9UNT1	RAB, member of RAS oncogene family like 2B		7.7226e-07	1.0	0.038	2	1
RABL2A	11159	Q9UBK7	RAB, member of RAS oncogene family like 2A		7.2529e-08			1	0
ERLIN2	11160	O94905	ER lipid raft associated 2		0.00066662	0.647	0.5	85	4
NUDT6	11162	P53370	nudix hydrolase 6	Enzyme	2.9113e-05	0.705	0.462	25	4
NUDT5	11164	Q9UKK9	nudix hydrolase 5	Enzyme	0.001405	0.821	0.231	12	1
NUDT3	11165	O95989	nudix hydrolase 3	Enzyme	0.42531	0.861	0.269	10	2
SOX21	11166	Q9Y651	SRY-box transcription factor 21	Transcription factor	0.71344	0.751	0.231	16	0
FSTL1	11167	Q12841	follistatin like 1	Enzyme modulator	0.89403	0.541	0.808	128	6
PSIP1	11168	O75475	PC4 and SFRS1 interacting protein 1	Signaling	0.99668	0.49	0.846	210	2
WDHD1	11169	O75717	WD repeat and HMG-box DNA binding protein 1	Nucleic acid binding	4.3694e-18	0.529	0.846	161	29
FAM107A	11170	O95990	family with sequence similarity 107 member A		8.2783e-07	0.674	0.462	36	4
STRAP	11171	Q9Y3F4	serine/threonine kinase receptor associated protein		0.90143	0.716	0.269	27	0
INSL6	11172	Q9Y581	insulin like 6	Signaling	3.734e-09	0.78	0.308	11	53
ADAMTS7	11173	Q9UKP4	ADAM metallopeptidase with thrombospondin type 1 motif 7	Enzyme	2.2517e-14	0.666	0.577	40	48
ADAMTS6	11174	Q9UKP5	ADAM metallopeptidase with thrombospondin type 1 motif 6	Enzyme	0.99998	0.769	0.231	28	19
BAZ2A	11176	Q9UIF9	bromodomain adjacent to zinc finger domain 2A		1.0	0.821	0.154	10	2
BAZ1A	11177	Q9NRL2	bromodomain adjacent to zinc finger domain 1A		1.0	0.792	0.269	17	7
LZTS1	11178	Q9Y250	leucine zipper tumor suppressor 1		0.95491	0.633	0.385	50	2
ZNF277	11179	Q9NRM2	zinc finger protein 277	Transcription factor	8.3182e-22	0.792	0.308	13	0
WDR6	11180	Q9NNW5	WD repeat domain 6		2.1434e-09			1	1
TREH	11181	O43280	trehalase		8.9579e-15	0.67	0.654	42	5
SLC2A6	11182	Q9UGQ3	solute carrier family 2 member 6	Transporter	6.7106e-06	0.674	0.538	39	2
MAP4K5	11183	Q9Y4K4	mitogen-activated protein kinase kinase kinase kinase 5	Kinase	0.99469	0.769	0.423	15	3
MAP4K1	11184	Q92918	mitogen-activated protein kinase kinase kinase kinase 1	Kinase	0.98919	0.678	0.5	33	2
INMT	11185	O95050	indolethylamine N-methyltransferase	Enzyme	0.0033238	0.89	0.154	3	2
RASSF1	11186	Q9NS23	Ras association domain family member 1	Enzyme modulator	4.9255e-06	0.42	0.808	400	15
PKP3	11187	Q9Y446	plakophilin 3	Cellular structure	6.283e-05	0.695	0.462	31	1
NISCH	11188	Q9Y2I1	nischarin	Enzyme modulator	0.99443	0.656	0.577	49	9
CELF3	11189	Q5SZQ8	CUGBP Elav-like family member 3		0.76757	0.89	0.231	4	0
CEP250	11190	Q9BV73	centrosomal protein 250	Enzyme modulator	9.449e-33	0.792	0.192	13	5
PTENP1	11191		phosphatase and tensin homolog pseudogene 1			0.65	0.577	42	3
DYX3	11192		dyslexia susceptibility 3			0.931	0.115	2	0
WBP4	11193	O75554	WW domain binding protein 4		3.9769e-08	1.0	0.077	3	1
ABCB8	11194	Q9NUT2	ATP binding cassette subfamily B member 8	Transporter	1.9164e-15	0.931	0.077	2	0
SEC23IP	11196	Q9Y6Y8	SEC23 interacting protein	Enzyme	1.9318e-05	0.931	0.115	4	0
WIF1	11197	Q9Y5W5	WNT inhibitory factor 1	Calcium-binding protein	1.3249e-09	0.507	0.731	171	1
SUPT16H	11198	Q9Y5B9	SPT16 homolog, facilitates chromatin remodeling subunit	Transcription factor	1.0	0.861	0.192	11	1
ANXA10	11199	Q9UJ72	annexin A10		9.5506e-14	0.621	0.462	63	1
CHEK2	11200	O96017	checkpoint kinase 2	Kinase	1.2103e-24	0.46	0.808	297	261
POLI	11201	Q9UNA4	DNA polymerase iota		3.1764e-08	0.691	0.423	32	11
KLK8	11202	O60259	kallikrein related peptidase 8	Enzyme	8.8493e-05	0.636	0.615	58	5
FZD10	11211	Q9ULW2	frizzled class receptor 10	G-protein coupled receptor	0.00052847	0.705	0.308	29	0
PLPBP	11212	O94903	pyridoxal phosphate binding protein		0.03972	0.736	0.231	31	6
IRAK3	11213	Q9Y616	interleukin 1 receptor associated kinase 3	Kinase	5.3092e-21	0.615	0.615	59	8
AKAP13	11214	Q12802	A-kinase anchoring protein 13		0.92909	0.626	0.615	73	15
AKAP11	11215	Q9UKA4	A-kinase anchoring protein 11		0.97878	1.0	0.077	2	0
AKAP10	11216	O43572	A-kinase anchoring protein 10		0.10782	0.76	0.308	28	18
DDX20	11218	Q9UHI6	DEAD-box helicase 20		7.7601e-14	0.711	0.423	27	3
TREX2	11219	Q9BQ50	three prime repair exonuclease 2		0.45433	0.769	0.346	12	0
DUSP10	11221	Q9Y6W6	dual specificity phosphatase 10		0.8335	0.686	0.577	36	3
MRPL3	11222	P09001	mitochondrial ribosomal protein L3		1.3045e-12	0.792	0.192	15	1
RPL35	11224	P42766	ribosomal protein L35	Nucleic acid binding	0.54892	0.805	0.346	20	0
GALNT6	11226	Q8NCL4	polypeptide N-acetylgalactosaminyltransferase 6	Enzyme	1.4162e-09	0.691	0.269	33	1
GALNT5	11227	Q7Z7M9	polypeptide N-acetylgalactosaminyltransferase 5	Enzyme	7.9311e-14	0.78	0.192	14	1
RASSF8	11228	Q8NHQ8	Ras association domain family member 8		0.94158	0.705	0.308	24	2
PRAF2	11230	O60831	PRA1 domain family member 2		0.74236	0.78	0.269	15	19
SEC63	11231	Q9UGP8	SEC63 homolog, protein translocation regulator	Chaperone	2.0818e-07	0.736	0.308	24	3
POLG2	11232	Q9UHN1	DNA polymerase gamma 2, accessory subunit	Enzyme	1.528e-10	0.558	0.769	158	11
HPS5	11234	Q9UPZ3	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2		1.8969e-13	0.674	0.423	45	22
PDCD10	11235	Q9BUL8	programmed cell death 10		0.96197	0.631	0.692	68	11
RNF139	11236	Q8WU17	ring finger protein 139		0.53807	0.67	0.423	36	1
RNF24	11237	Q9Y225	ring finger protein 24		0.030685	1.0	0.077	1	1
PADI2	11240	Q9Y2J8	peptidyl arginine deiminase 2		4.9471e-11	0.61	0.615	67	5
PMF1	11243	Q6P1K2	polyamine modulated factor 1		1.073e-08	0.839	0.192	11	31
ZHX1	11244	Q9UKY1	zinc fingers and homeoboxes 1	Transcription factor	0.80424	0.711	0.346	23	0
GPR176	11245	Q14439	G protein-coupled receptor 176	G-protein coupled receptor	0.0080793			1	1
NXPH4	11247	O95158	neurexophilin 4	Signaling	0.22997	0.89	0.154	5	3
NXPH3	11248	O95157	neurexophilin 3	Signaling	0.28443	0.861	0.346	5	0
NXPH2	11249	O95156	neurexophilin 2	Signaling	0.92646	0.821	0.154	6	0
GPR45	11250	Q9Y5Y3	G protein-coupled receptor 45	G-protein coupled receptor	0.10453	1.0	0.077	1	0
PTGDR2	11251	Q9Y5Y4	prostaglandin D2 receptor 2	G-protein coupled receptor	0.0027025	0.612	0.692	60	1
PACSIN2	11252	Q9UNF0	protein kinase C and casein kinase substrate in neurons 2	Cellular structure	0.21345	0.751	0.385	19	6
MAN1B1	11253	Q9UKM7	mannosidase alpha class 1B member 1	Chaperone	1.1812e-08	0.606	0.577	115	10
SLC6A14	11254	Q9UN76	solute carrier family 6 member 14	Transporter	0.56419	0.711	0.385	27	1
HRH3	11255	Q9Y5N1	histamine receptor H3	G-protein coupled receptor	0.04081	0.647	0.462	60	3
TP53TG1	11257		TP53 target 1			0.792	0.269	16	3
DCTN3	11258	O75935	dynactin subunit 3		1.2577e-07	0.641	0.654	46	0
FILIP1L	11259	Q4L180	filamin A interacting protein 1 like		1.0757e-09	0.705	0.5	31	9
XPOT	11260	O43592	exportin for tRNA	Nucleic acid binding	0.99711	0.861	0.154	7	0
CHP1	11261	Q99653	calcineurin like EF-hand protein 1		0.62667	0.546	0.769	141	4
SP140	11262	Q13342	SP140 nuclear body protein		4.9994e-08	0.691	0.577	32	26
PXMP4	11264	Q9Y6I8	peroxisomal membrane protein 4		0.00075854	0.931	0.077	7	4
DUSP12	11266	Q9UNI6	dual specificity phosphatase 12		0.00013856	0.78	0.269	17	0
SNF8	11267	Q96H20	SNF8 subunit of ESCRT-II		0.00045727	0.805	0.192	10	0
DDX19B	11269	Q9UMR2	DEAD-box helicase 19B		1.5562e-07	0.89	0.115	9	3
NRM	11270	Q8IXM6	nurim		0.021828	0.76	0.231	16	3
PRR4	11272	Q16378	proline rich 4		0.044222	0.931	0.077	5	23
ATXN2L	11273	Q8WWM7	ataxin 2 like	Nucleic acid binding	1.0	0.695	0.423	30	5
USP18	11274	Q9UMW8	ubiquitin specific peptidase 18		0.0014952	0.601	0.615	79	2
KLHL2	11275	O95198	kelch like family member 2		0.99985	0.751	0.462	18	1
SYNRG	11276	Q9UMZ2	synergin gamma		0.93079	1.0	0.077	2	2
TREX1	11277	Q9NSU2	three prime repair exonuclease 1		0.57528	0.517	0.808	241	36
KLF12	11278	Q9Y4X4	Kruppel like factor 12	Nucleic acid binding	0.98067	0.647	0.654	58	20
KLF8	11279	O95600	Kruppel like factor 8	Nucleic acid binding	0.0022471	0.628	0.462	55	4
SCN11A	11280	Q9UI33	sodium voltage-gated channel alpha subunit 11	Ion channel	6.9339e-26	0.666	0.462	57	17
POU6F2	11281	P78424	POU class 6 homeobox 2		0.0015216	0.769	0.385	29	16
MGAT4B	11282	Q9UQ53	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B		0.69145	0.89	0.192	6	4
CYP4F8	11283	P98187	cytochrome P450 family 4 subfamily F member 8	Enzyme		0.931	0.077	2	1
PNKP	11284	Q96T60	polynucleotide kinase 3'-phosphatase		3.662e-14	0.553	0.692	163	17
B4GALT7	11285	Q9UBV7	beta-1,4-galactosyltransferase 7		0.00011304	0.628	0.654	79	9
SLCO2B1	11309	O94956	solute carrier organic anion transporter family member 2B1	Transporter	1.1159e-05	0.653	0.5	41	4
VPS45	11311	Q9NRW7	vacuolar protein sorting 45 homolog	Transporter	5.094e-06	0.716	0.308	25	4
LYPLA2	11313	O95372	lysophospholipase 2		0.94955	0.931	0.115	3	1
CD300A	11314	Q9UGN4	CD300a molecule		1.1537e-06	0.769	0.269	20	3
PARK7	11315	Q99497	Parkinsonism associated deglycase	Enzyme	0.75335	0.535	0.808	161	15
COPE	11316	O14579	COPI coat complex subunit epsilon	Transporter	0.69249	0.686	0.385	34	0
RBPJL	11317	Q9UBG7	recombination signal binding protein for immunoglobulin kappa J region like	Nucleic acid binding	2.9189e-11	0.931	0.077	3	1
GPR182	11318	O15218	G protein-coupled receptor 182	G-protein coupled receptor	0.00013704	0.691	0.462	37	0
ECD	11319	O95905	ecdysoneless cell cycle regulator		2.3368e-12	0.656	0.538	40	1
MGAT4A	11320	Q9UM21	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A		4.4513e-05	0.805	0.308	13	4
GPN1	11321	Q9HCN4	GPN-loop GTPase 1	Nucleic acid binding	5.5764e-05	0.769	0.308	20	7
TMC6	11322	Q7Z403	transmembrane channel like 6	Ion channel	5.8557e-10	0.705	0.308	41	17
DDX42	11325	Q86XP3	DEAD-box helicase 42		1.0	0.861	0.115	6	1
VSIG4	11326	Q9Y279	V-set and immunoglobulin domain containing 4		1.4953e-09	0.628	0.615	51	2
FKBP9	11328	O95302	FKBP prolyl isomerase 9		1.0584e-05	0.805	0.231	13	1
STK38	11329	Q15208	serine/threonine kinase 38	Kinase	0.00076687	0.682	0.731	40	0
CTRC	11330	Q99895	chymotrypsin C		1.2851e-12	0.653	0.5	56	16
PHB2	11331	Q99623	prohibitin 2		0.0039339	0.558	0.769	107	2
ACOT7	11332	O00154	acyl-CoA thioesterase 7	Enzyme	0.75926	0.531	0.769	146	11
PDAP1	11333	Q13442	PDGFA associated protein 1		0.049626	0.576	0.769	95	1
TUSC2	11334	O75896	tumor suppressor 2, mitochondrial calcium regulator		0.7671	0.556	0.846	111	0
CBX3	11335	Q13185	chromobox 3	Epigenetic regulator	0.40951	0.633	0.346	53	0
EXOC3	11336	O60645	exocyst complex component 3	Transporter	0.92216	0.931	0.192	4	3
GABARAP	11337	O95166	GABA type A receptor-associated protein	Cellular structure	0.26129	0.695	0.5	31	3
U2AF2	11338	P26368	U2 small nuclear RNA auxiliary factor 2		0.9996	0.78	0.154	21	1
OIP5	11339	O43482	Opa interacting protein 5		1.4649e-07	0.682	0.385	33	0
EXOSC8	11340	Q96B26	exosome component 8	Enzyme	6.9378e-15	0.736	0.269	22	3
SCRG1	11341	O75711	stimulator of chondrogenesis 1		0.044451	1.0	0.077	1	1
RNF13	11342	O43567	ring finger protein 13		0.00040292	0.722	0.346	33	1
MGLL	11343	Q99685	monoglyceride lipase	Enzyme	0.020016	0.564	0.731	125	7
TWF2	11344	Q6IBS0	twinfilin actin binding protein 2	Cellular structure	0.98055	0.931	0.077	3	3
GABARAPL2	11345	P60520	GABA type A receptor associated protein like 2	Cellular structure	0.00022815	0.821	0.231	10	1
SYNPO	11346	Q8N3V7	synaptopodin	Cellular structure	0.98573	0.663	0.577	37	3
CASC3	22794	O15234	CASC3 exon junction complex subunit		0.61338	0.792	0.231	10	0
NID2	22795	Q14112	nidogen 2	Calcium-binding protein	4.1103e-09	0.674	0.5	41	7
COG2	22796	Q14746	component of oligomeric golgi complex 2		9.3658e-06	0.729	0.423	30	2
TFEC	22797	O14948	transcription factor EC		4.2824e-08	0.861	0.231	9	2
LAMB4	22798	A4D0S4	laminin subunit beta 4	Enzyme modulator	1.614e-42	0.861	0.115	5	1
RRAS2	22800	P62070	RAS related 2	Enzyme modulator	0.97463	0.656	0.5	48	4
ITGA11	22801	Q9UKX5	integrin subunit alpha 11		8.661e-08	0.678	0.5	34	7
CLCA4	22802	Q14CN2	chloride channel accessory 4	Ion channel	6.9601e-15	0.729	0.385	29	5
XRN2	22803	Q9H0D6	5'-3' exoribonuclease 2		0.34851	0.821	0.269	9	3
IKZF3	22806	Q9UKT9	IKAROS family zinc finger 3	Transcription factor	0.98416	0.608	0.692	64	24
IKZF2	22807	Q9UKS7	IKAROS family zinc finger 2	Transcription factor	0.98731	0.656	0.5	39	8
MRAS	22808	O14807	muscle RAS oncogene homolog	Enzyme modulator	0.92111	0.59	0.731	113	22
ATF5	22809	Q9Y2D1	activating transcription factor 5		0.29163	0.674	0.385	41	0
TDGF1P6	22813		teratocarcinoma-derived growth factor 1 pseudogene 6			0.659	0.577	50	0
NR1I4	22817		nuclear receptor subfamily 1 group I member 4			0.89	0.385	3	0
COPZ1	22818	P61923	COPI coat complex subunit zeta 1	Transporter	0.94896	0.861	0.115	14	10
COPG1	22820	Q9Y678	COPI coat complex subunit gamma 1	Transporter	0.17472	0.931	0.077	4	3
RASA3	22821	Q14644	RAS p21 protein activator 3	Enzyme modulator	1.9114e-10	0.769	0.308	14	3
PHLDA1	22822	Q8WV24	pleckstrin homology like domain family A member 1		0.79833	0.647	0.462	48	0
MTF2	22823	Q9Y483	metal response element binding transcription factor 2	Nucleic acid binding	0.99987	0.861	0.231	8	2
HSPA4L	22824	O95757	heat shock protein family A (Hsp70) member 4 like		6.9455e-07	0.805	0.192	10	1
DNAJC8	22826	O75937	DnaJ heat shock protein family (Hsp40) member C8		0.050961	0.89	0.077	4	1
PUF60	22827	Q9UHX1	poly(U) binding splicing factor 60		0.99677	0.536	0.769	188	24
SCAF8	22828	Q9UPN6	SR-related CTD associated factor 8	Nucleic acid binding	1.0	0.78	0.269	12	1
NLGN4Y	22829	Q8NFZ3	neuroligin 4 Y-linked		0.099388	0.769	0.308	13	1
ZNF652	22834	Q9Y2D9	zinc finger protein 652	Transcription factor	0.82299	0.76	0.346	37	15
ZFP30	22835	Q9Y2G7	ZFP30 zinc finger protein		3.8484e-07	1.0	0.077	2	1
RHOBTB3	22836	O94955	Rho related BTB domain containing 3	Enzyme modulator	4.2416e-06	0.931	0.038	4	2
COBLL1	22837	Q53SF7	cordon-bleu WH2 repeat protein like 1		0.046671	0.792	0.346	29	19
RNF44	22838	Q7L0R7	ring finger protein 44		0.27044	1.0	0.038	3	1
DLGAP4	22839	Q9Y2H0	DLG associated protein 4	Receptor	0.99248	0.769	0.269	19	9
RAB11FIP2	22841	Q7L804	RAB11 family interacting protein 2		0.94451	0.821	0.192	11	0
PPM1E	22843	Q8WY54	protein phosphatase, Mg2+/Mn2+ dependent 1E	Enzyme	0.98758	0.805	0.192	14	7
FRMPD1	22844	Q5SYB0	FERM and PDZ domain containing 1		2.1898e-12	0.805	0.154	13	4
DOLK	22845	Q9UPQ8	dolichol kinase		0.0012393	0.736	0.385	38	7
VASH1	22846	Q7L8A9	vasohibin 1		0.32566	0.601	0.423	69	0
ZNF507	22847	Q8TCN5	zinc finger protein 507	Transcription factor	0.057483	1.0		8	1
AAK1	22848	Q2M2I8	AP2 associated kinase 1	Kinase	1.0	0.792	0.346	16	4
CPEB3	22849	Q8NE35	cytoplasmic polyadenylation element binding protein 3	Nucleic acid binding	0.99846	0.805	0.192	14	3
ADNP2	22850	Q6IQ32	ADNP homeobox 2		0.69573	1.0	0.038	3	0
ANKRD26	22852	Q9UPS8	ankyrin repeat domain 26		3.5745e-24	0.711	0.308	41	7
LMTK2	22853	Q8IWU2	lemur tyrosine kinase 2	Kinase	0.99978	0.729	0.462	23	4
NTNG1	22854	Q9Y2I2	netrin G1	Enzyme modulator	0.9167	0.65	0.423	64	10
CHSY1	22856	Q86X52	chondroitin sulfate synthase 1	Enzyme	0.70781	0.612	0.615	91	10
CILK1	22858	Q9UPZ9	ciliogenesis associated kinase 1	Kinase	1.3376e-05	0.545	0.808	142	9
ADGRL1	22859	O94910	adhesion G protein-coupled receptor L1	G-protein coupled receptor	1.0	0.839	0.231	7	0
NLRP1	22861	Q9C000	NLR family pyrin domain containing 1		4.9693e-19	0.502	0.769	200	13
FNDC3A	22862	Q9Y2H6	fibronectin type III domain containing 3A		0.99998	0.674	0.577	35	4
ATG14	22863	Q6ZNE5	autophagy related 14		0.17435	0.76	0.423	18	35
R3HDM2	22864	Q9Y2K5	R3H domain containing 2		1.0	0.76	0.346	24	17
SLITRK3	22865	O94933	SLIT and NTRK like family member 3		0.93906			5	2
CNKSR2	22866	Q8WXI2	connector enhancer of kinase suppressor of Ras 2		0.99996	0.628	0.538	96	6
FASTKD2	22868	Q9NYY8	FAST kinase domains 2		2.8891e-06	0.659	0.731	60	3
PPP6R1	22870	Q9UPN7	protein phosphatase 6 regulatory subunit 1	Enzyme modulator	0.98287			1	1
NLGN1	22871	Q8N2Q7	neuroligin 1		0.85276	0.705	0.385	32	25
SEC31A	22872	O94979	SEC31 homolog A, COPII coat complex component	Transporter	7.8773e-05	0.76	0.269	14	2
DZIP1	22873	Q86YF9	DAZ interacting zinc finger protein 1	Nucleic acid binding	3.1283e-20	0.931	0.077	2	1
PLEKHA6	22874	Q9Y2H5	pleckstrin homology domain containing A6		0.013746	0.861	0.115	7	3
ENPP4	22875	Q9Y6X5	ectonucleotide pyrophosphatase/phosphodiesterase 4	Enzyme	0.11941			1	1
INPP5F	22876	Q9Y2H2	inositol polyphosphate-5-phosphatase F		2.3623e-07	0.805	0.231	9	1
MLXIP	22877	Q9HAP2	MLX interacting protein		0.98932	0.597	0.692	70	9
TRAPPC8	22878	Q9Y2L5	trafficking protein particle complex 8		1.0	0.89	0.231	3	1
MON1B	22879	Q7L1V2	MON1 homolog B, secretory trafficking associated		0.018676	0.89	0.077	5	0
MORC2	22880	Q9Y6X9	MORC family CW-type zinc finger 2		0.99999	0.626	0.462	83	10
ANKRD6	22881	Q9Y2G4	ankyrin repeat domain 6		1.1728e-11	0.839	0.154	12	5
ZHX2	22882	Q9Y6X8	zinc fingers and homeoboxes 2	Transcription factor	0.03372	0.51	0.654	172	5
CLSTN1	22883	O94985	calsyntenin 1	Calcium-binding protein	0.97757	0.729	0.462	16	2
WDR37	22884	Q9Y2I8	WD repeat domain 37		0.56642	0.751	0.231	26	2
ABLIM3	22885	O94929	actin binding LIM protein family member 3	Cellular structure	1.0625e-07	1.0	0.077	8	6
FOXJ3	22887	Q9UPW0	forkhead box J3		0.99598	0.89	0.192	5	3
UBOX5	22888	O94941	U-box domain containing 5		0.00072138			1	1
KHDC4	22889	Q7Z7F0	KH domain containing 4, pre-mRNA splicing factor		0.96921	0.931	0.077	2	0
ZBTB1	22890	Q9Y2K1	zinc finger and BTB domain containing 1		0.99407			1	1
ZNF365	22891	Q70YC4;Q70YC5	zinc finger protein 365		0.00046761	0.641	0.654	60	30
BAHD1	22893	Q8TBE0	bromo adjacent homology domain containing 1		0.98547	0.89	0.192	4	1
DIS3	22894	Q9Y2L1	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease	Enzyme	1.2694e-21	0.839	0.385	14	0
RPH3A	22895	Q9Y2J0	rabphilin 3A		0.0016609	0.76	0.385	25	12
CEP164	22897	Q9UPV0	centrosomal protein 164		4.8293e-27	0.711	0.462	33	13
DENND3	22898	A2RUS2	DENN domain containing 3		1.3007e-11	0.931	0.077	3	3
ARHGEF15	22899	O94989	Rho guanine nucleotide exchange factor 15		1.66e-06	0.76	0.308	15	5
CARD8	22900	Q9Y2G2	caspase recruitment domain family member 8		1.7672e-06	0.59	0.731	78	9
ARSG	22901	Q96EG1	arylsulfatase G	Enzyme	6.3682e-10	0.666	0.423	48	11
RUFY3	22902	Q7L099	RUN and FYVE domain containing 3		0.020593	0.736	0.231	23	0
BTBD3	22903	Q9Y2F9	BTB domain containing 3		0.12831	1.0	0.077	6	1
SBNO2	22904	Q9Y2G9	strawberry notch homolog 2	Enzyme	0.0070655	0.663	0.538	41	12
EPN2	22905	O95208	epsin 2		0.74755	1.0	0.038	4	3
TRAK1	22906	Q9UPV9	trafficking kinesin protein 1	Transporter	0.00037311	0.674	0.423	66	10
DHX30	22907	Q7L2E3	DExH-box helicase 30	Enzyme	1.0	0.722	0.5	47	7
SACM1L	22908	Q9NTJ5	SAC1 like phosphatidylinositide phosphatase		0.69536	0.682	0.5	31	1
FAN1	22909	Q9Y2M0	FANCD2 and FANCI associated nuclease 1		1.6512e-25	0.61	0.577	93	14
WDR47	22911	O94967	WD repeat domain 47		0.29213	0.931	0.115	2	0
RALY	22913	Q9UKM9	RALY heterogeneous nuclear ribonucleoprotein		0.13796	0.656	0.385	46	23
KLRK1	22914	P26718	killer cell lectin like receptor K1		6.9812e-14	0.467	0.769	255	2
MMRN1	22915	Q13201	multimerin 1		2.0714e-25	0.465	0.846	272	3
NCBP2	22916	P52298	nuclear cap binding protein subunit 2	Nucleic acid binding	0.39994	0.805	0.115	11	1
ZP1	22917	P60852	zona pellucida glycoprotein 1		1.8672e-21	0.89		5	2
CD93	22918	Q9NPY3	CD93 molecule	Calcium-binding protein	1.9782e-10	0.663	0.5	36	5
MAPRE1	22919	Q15691	microtubule associated protein RP/EB family member 1	Cellular structure	0.99129	0.674	0.462	35	2
KIFAP3	22920	Q92845	kinesin associated protein 3	Cellular structure	1.5803e-05	0.76	0.346	19	5
MSRB2	22921	Q9Y3D2	methionine sulfoxide reductase B2		5.5352e-05	0.861	0.154	6	0
MAPRE3	22924	Q9UPY8	microtubule associated protein RP/EB family member 3	Cellular structure	0.71561	0.78	0.231	14	3
PLA2R1	22925	Q13018	phospholipase A2 receptor 1		3.2312e-30	0.633	0.577	59	16
ATF6	22926	P18850	activating transcription factor 6		3.2333e-07	0.516	0.846	179	30
HABP4	22927	Q5JVS0	hyaluronan binding protein 4	Nucleic acid binding	0.0062064	0.89	0.115	6	3
SEPHS2	22928	Q99611	selenophosphate synthetase 2	Enzyme	0.0022195	0.839	0.077	6	0
SEPHS1	22929	P49903	selenophosphate synthetase 1	Enzyme	0.97637	0.695	0.385	31	0
RAB3GAP1	22930	Q15042	RAB3 GTPase activating protein catalytic subunit 1		1.4523e-07	0.566	0.692	138	35
RAB18	22931	Q9NP72	RAB18, member RAS oncogene family		0.91006	0.582	0.692	113	4
POMZP3	22932	Q6PJE2	POM121 and ZP3 fusion		0.00052926	1.0	0.038	1	0
SIRT2	22933	Q8IXJ6	sirtuin 2	Epigenetic regulator	2.3295e-08	0.51	0.769	172	4
RPIA	22934	P49247	ribose 5-phosphate isomerase A		0.00014309	0.691	0.462	52	3
ELL2	22936	O00472	elongation factor for RNA polymerase II 2	Cell-cell junction	0.99824	0.722	0.269	22	7
SCAP	22937	Q12770	SREBF chaperone		2.9094e-06	0.682	0.462	35	3
SNW1	22938	Q13573	SNW domain containing 1	Transcription factor	0.99961	0.682	0.423	29	0
SHANK2	22941	Q9UPX8	SH3 and multiple ankyrin repeat domains 2		8.4299e-07	0.663	0.385	49	17
DKK1	22943	O94907	dickkopf WNT signaling pathway inhibitor 1		0.17423	0.439	0.885	372	4
KIN	22944	O60870	Kin17 DNA and RNA binding protein		1.0187e-05	0.769	0.192	18	0
DUX4L1	22947		double homeobox 4 like 1 (pseudogene)			1.0	0.115	1	0
CCT5	22948	P48643	chaperonin containing TCP1 subunit 5	Chaperone	0.99928	0.663	0.462	50	1
PTGR1	22949	Q14914	prostaglandin reductase 1	Enzyme	3.5375e-08	0.729	0.231	32	5
SLC4A1AP	22950	Q9BWU0	solute carrier family 4 member 1 adaptor protein		8.6733e-10	0.931	0.115	4	3
CYP2G1P	22952	Q6ZSU1	cytochrome P450 family 2 subfamily G member 1, pseudogene					3	3
P2RX2	22953	Q9UBL9	purinergic receptor P2X 2	Ion channel	9.6508e-13	0.585	0.769	99	13
TRIM32	22954	Q13049	tripartite motif containing 32		0.0016684	0.587	0.769	113	7
SCMH1	22955	Q96GD3	Scm polycomb group protein homolog 1	Nucleic acid binding	8.6107e-06	0.931	0.077	11	11
TPX2	22974	Q9ULW0	TPX2 microtubule nucleation factor	Cellular structure	0.99981	0.541	0.692	122	2
PAXIP1	22976	Q6ZW49	PAX interacting protein 1		1.0	0.769	0.269	15	0
AKR7A3	22977	O95154	aldo-keto reductase family 7 member A3	Enzyme	1.0209e-19	0.931	0.115	6	1
NT5C2	22978	P49902	5'-nucleotidase, cytosolic II	Enzyme	2.1385e-06	0.537	0.846	149	24
EFR3B	22979	Q9Y2G0	EFR3 homolog B		0.024122	0.89	0.231	9	11
TCF25	22980	Q9BQ70	transcription factor 25		0.41572	1.0	0.077	5	8
NINL	22981	Q9Y2I6	ninein like		2.6545e-39	0.682	0.538	34	1
DIP2C	22982	Q9Y2E4	disco interacting protein 2 homolog C		1.0	0.805	0.192	10	4
MAST1	22983	Q9Y2H9	microtubule associated serine/threonine kinase 1	Kinase	1.0	0.711	0.385	41	23
PDCD11	22984	Q14690	programmed cell death 11	Nucleic acid binding	3.2929e-16	0.839	0.269	9	3
ACIN1	22985	Q9UKV3	apoptotic chromatin condensation inducer 1		1.0	0.751	0.308	19	2
